,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
1309,VENLAFAXINA,DEPUROL RET.(B) 150mg X30CAP.,PHARMA INVESTI,$ 74.399,38%,$ 46.127
1310,VENLAFAXINA,DEPUROL RET.(B) 75mg X30CAP.,PHARMA INVESTI,$ 41.899,42%,$ 24.301
1311,VENLAFAXINA,DEPUROL RET.37.5mg X30CAP.,PHARMA INVESTI,$ 34.199,42%,$ 19.835
1312,VENLAFAXINA,SUBELAN XR (B) 75mg X30CAP.PROL.,EXELTIS CHILE,$ 30.999,60%,$ 12.400
1313,VILANTEROL + FLUTICASONA,RELVAR 184/22mcg INH.X30DS.,GLAXO,$ 72.799,30%,$ 50.959
1314,VILANTEROL + FLUTICASONA,RELVAR 92/22mcg INH.X30DS.,GLAXO,$ 69.599,40%,$ 41.759
1315,VILDAGLIPTINA,GALVUS 50mg X56COM.,AXON PHARMA,$ 49.899,34%,$ 32.933
1316,VILDAGLIPTINA,GALVUS 50mg X28COM.,AXON PHARMA,$ 33.099,40%,$ 19.859
1317,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X28COM.REC.,AXON PHARMA,$ 34.399,20%,$ 27.519
1318,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X56COM.REC.,AXON PHARMA,$ 58.099,20%,$ 46.479
1319,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X28COM.REC.,AXON PHARMA,$ 30.799,27%,$ 22.483
1320,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X56COM.REC.,AXON PHARMA,$ 58.099,31%,$ 40.088
1321,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X56COM.REC.,AXON PHARMA,$ 55.799,31%,$ 38.501
1322,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X28COM.REC.,AXON PHARMA,$ 36.999,43%,$ 21.089
1323,VIT.A + VIT.C + VIT.D,ABECIDIN ACD GTAS.X30ml,PASTEUR,$ 7.999,20%,$ 6.399
1324,VIT.A + VIT.C + VIT.D,VITAMINA ACD GTAS.X30ml,LABORATORIO CHILE,$ 4.599,41%,$ 2.713
1325,VIT.A + VIT.C + VIT.D,INFORTIN ACD GTAS.X30ml,PRATER,$ 8.799,69%,$ 2.728
1326,VIT.A + VIT.C + VIT.E + SELENIO + ZINC + MANGANESO + COBRE,LAROTABE CAPS.X60,BAYER OTC,$ 26.599,21%,$ 21.013
1327,VIT.B1 + VIT.B6 + VIT.B12,TOL 12 FTE.10000 X3AMP.,SAVAL S.A.,$ 7.399,14%,$ 6.363
1328,VIT.B1 + VIT.B6 + VIT.B12,NEUROBION DC (B) 10000UI/3ml X3AMP.,PROCTER&GAMBLE (FARMA),$ 16.899,18%,$ 13.857
1329,VITAMINA A PALMITATO,BAGOVIT A CR.100g,BAGO,$ 8.499,15%,$ 7.224
1330,VITAMINA C (ACIDO ASCORBICO),VITAMIN C 1000 TABL.X60,VITAMIN LIFE,$ 6.999,30%,$ 4.899
1331,VITAMINA C (ACIDO ASCORBICO),ACIDO ASCORBICO 100mg X100COM.,ByB FARMACEUTICA,$ 1.199,53%,$ 564
1332,VITAMINA C + PROBIOTICOS,CREVET LIGHT 500mg X32COM.MAST.,PRATER,$ 3.599,40%,$ 2.159
1333,VITAMINA E (TOCOFEROL),EGOGYN 1000UI CAPS.X30,RECALCINE K2 HEALTH & WELLNESS,$ 9.699,45%,$ 5.334
1334,VITAMINA E (TOCOFEROL),EGOGYN 400UI CAPS.X30,RECALCINE K2 HEALTH & WELLNESS,$ 5.099,46%,$ 2.753
1335,VORTIOXETINA,BRINTELLIX 10mg X28COM.,LUNDBECK,$ 63.999,5%,$ 60.799
1336,WARFARINA,CAVAMED 5mg COMP.X30,PHARMA INVESTI,$ 28.099,25%,$ 21.074
1337,ZINC,NUM-ZIT 10mg X30COM.,ANDROMACO FARMA,$ 13.099,30%,$ 9.169
1338,ZINC,NUM-ZIT 15mg X30COM.,ANDROMACO FARMA,$ 11.699,30%,$ 8.189
1339,ZINC,NUM-ZIT 5 5mg/ml GTAS.X25ml,ANDROMACO FARMA,$ 12.699,30%,$ 8.889
1340,ZINC,ALTAZINC 10mg X40COM.,SAVAL S.A.,$ 20.699,30%,$ 14.489
1341,ZINC,ALTAZINC 15mg X40COM.,SAVAL S.A.,$ 19.499,30%,$ 13.649
1342,ZINC,ALTAZINC 5mg/ml GTAS.X30ml,SAVAL S.A.,$ 22.399,30%,$ 15.679
1343,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.X100g,ANDROMACO FARMA,$ 7.799,15%,$ 6.629
1344,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.X60g,ANDROMACO FARMA,$ 5.699,15%,$ 4.844
1345,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.X20g,ANDROMACO FARMA,$ 4.399,20%,$ 3.519
1346,ZINC OXIDO + VIT.A + VIT.D + ALCOHOL PANTOTENILICO + BENZALCONIO CLORURO,POVIN PDA.X20g,ANDROMACO FARMA,$ 3.399,20%,$ 2.719
1347,ZINC SULFATO + GELATINA-AMINOACIDO AZUFR,VANTUX CAPS.X30,PHARMA INVESTI,$ 10.499,38%,$ 6.509
1348,ZOLPIDEM,SOMNIL (B) 10mg X30COM.,TECNOFARMA LTDA.,$ 24.199,16%,$ 20.327
1349,ZOLPIDEM,SUCEDAL (B) 10mg X30COM.REC.,PHARMA INVESTI,$ 27.999,20%,$ 22.399
1350,ZOLPIDEM,SOMNO XR 12.5mg COMP.X30,SAVAL S.A.,$ 35.099,33%,$ 23.516
1351,ZOLPIDEM,SOMNO (B) 10mg X30COM.REC.,SAVAL S.A.,$ 35.399,35%,$ 23.009
1352,ZOPICLONA,LOSOPIL (B) 7.5mg X30COM.REC.,MEDIPHARM,$ 5.499,43%,$ 3.134
1353,ZOPICLONA,ZOPICLONA (B) 7.5mg X30COM.REC,HOSPIFARMA,$ 3.299,60%,$ 1.320
